raceid,HasGateTrigger (3/3),uuid,Updated At,HUMAN_TRIGGER
2025031402010,22.24,T020D0C0,2025-11-30 06:12:23.562518+00:00,
2025031500101,55.24,T001D0C0,2025-11-30 15:16:54.114762+00:00,
2025031500103,83.44,T001D0C0,2025-11-30 20:29:44.573320+00:00,
2025031500105,163.24,T001D0C0,2025-11-30 09:38:19.401726+00:00,
2025031500109,176.84,T001D0C0,2025-11-30 23:01:14.094512+00:00,
2025031501702,49.44,T017D0C0,2025-11-30 13:23:32.646652+00:00,
2025031501703,112.24,T017D0C0,2025-11-30 23:56:03.011114+00:00,
2025031501901,39.64,T019D0C0,2025-11-30 07:21:21.596215+00:00,
2025031501903,37.84,T019D0C0,2025-11-30 08:08:42.812508+00:00,
2025031501908,39.64,T019D0C0,2025-11-30 09:52:56.356263+00:00,
2025031501909,24.64,T019D0C0,2025-11-30 06:59:37.823075+00:00,
2025031505505,185.44,T055D0C0,2025-11-30 20:40:06.785257+00:00,
2025031505506,0.24,T055D0C0,2025-11-30 20:28:01.465645+00:00,
2025031505508,104.64,T055D0C0,2025-11-30 05:33:58.437057+00:00,
2025031505509,388.24,T055D0C0,2025-11-30 21:04:10.595759+00:00,
2025031505510,168.84,T055D0C0,2025-11-30 22:55:24.362787+00:00,
2025031505511,226.04,T055D0C0,2025-11-30 17:35:21.902551+00:00,
2025031505512,161.24,T055D0C0,2025-11-30 07:04:03.730871+00:00,
2025031601704,38.04,T017D0C0,2025-11-30 06:21:49.233474+00:00,
2025031601707,6.44,T017D0C0,2025-11-30 20:29:00.108311+00:00,
2025031601709,38.04,T017D0C0,2025-11-30 22:47:21.259412+00:00,
2025031601710,38.04,T017D0C0,2025-11-30 20:14:05.793945+00:00,
2025031601711,44.04,T017D0C0,2025-11-30 19:01:22.820450+00:00,
2025031601712,35.04,T017D0C0,2025-11-30 16:21:46.844882+00:00,
2025031604501,25.84,T045D0C0,2025-11-29 15:07:24.320099+00:00,
2025031604502,46.84,T045D0C0,2025-11-29 14:43:37.182034+00:00,
2025031604505,37.84,T045D0C0,2025-11-29 16:22:38.709779+00:00,
2025031604507,37.84,T045D0C0,2025-11-29 16:57:29.638198+00:00,
2025031604508,34.84,T045D0C0,2025-11-29 16:36:34.847832+00:00,
2025031604509,30.84,T045D0C0,2025-11-29 16:28:40.739014+00:00,
2025031604510,203.44,T045D0C0,2025-11-29 15:50:28.044513+00:00,
2025031604511,202.64,T045D0C0,2025-11-29 15:10:30.550083+00:00,
2025031700301,34.84,T003D0C0,2025-11-30 18:08:23.151567+00:00,
2025031700303,19.04,T003D0C0,2025-11-30 11:33:10.635179+00:00,
2025031700305,6.24,T003D0C0,2025-11-30 19:16:56.096997+00:00,
2025031700310,68.04,T003D0C0,2025-11-30 09:17:51.370881+00:00,
2025031700311,12.84,T003D0C0,2025-11-30 22:59:27.435647+00:00,
2025031700312,211.04,T003D0C0,2025-11-30 23:50:53.092425+00:00,
2025031700601,191.84,T006D0C0,2025-11-30 09:53:31.100259+00:00,
2025031701701,17.44,T017D0C0,2025-11-30 17:35:36.986520+00:00,
2025031701702,214.04,T017D0C0,2025-11-30 14:29:21.199838+00:00,
2025031701703,217.04,T017D0C0,2025-11-30 20:07:13.421636+00:00,
2025031701705,214.04,T017D0C0,2025-11-30 20:04:00.956381+00:00,
2025031701706,40.84,T017D0C0,2025-11-30 19:49:14.896551+00:00,
2025031701708,214.04,T017D0C0,2025-11-30 16:41:26.172993+00:00,
2025031800102,36.44,T001D0C0,2025-11-30 14:31:22.119239+00:00,
2025031800103,34.84,T001D0C0,2025-11-30 08:34:24.866374+00:00,
2025031800104,37.84,T001D0C0,2025-12-01 00:14:16.056845+00:00,
2025031800106,66.64,T001D0C0,2025-11-30 16:53:53.247966+00:00,
2025031800112,14.44,T001D0C0,2025-11-30 12:15:02.170922+00:00,
2025031800606,12.04,T006D0C0,2025-11-30 20:58:09.285387+00:00,
2025031802001,216.84,T020D0C0,2025-11-30 16:11:22.013783+00:00,
2025031900702,37.84,T007D0C0,2025-11-30 17:35:26.095937+00:00,
2025031900704,37.64,T007D0C0,2025-11-30 09:34:58.449371+00:00,
2025031900707,43.84,T007D0C0,2025-11-30 09:17:36.423297+00:00,
2025031900708,13.64,T007D0C0,2025-11-30 05:07:16.654806+00:00,
2025031900709,43.44,T007D0C0,2025-11-30 20:22:04.403786+00:00,
2025031900711,7.04,T007D0C0,2025-11-30 07:49:51.899459+00:00,
2025031901901,181.84,T019D0C0,2025-11-30 12:18:06.992636+00:00,
2025031901907,13.44,T019D0C0,2025-11-30 18:08:49.140497+00:00,
2025031901910,43.84,T019D0C0,2025-11-30 08:23:45.097713+00:00,
2025031901912,3.84,T019D0C0,2025-11-30 18:58:46.842054+00:00,
2025031902004,46.84,T020D0C0,2025-11-30 22:06:57.618705+00:00,
2025031902005,27.04,T020D0C0,2025-11-30 07:11:36.912989+00:00,
2025031902007,45.44,T020D0C0,2025-11-30 13:44:07.235742+00:00,
2025031902008,37.64,T020D0C0,2025-11-30 11:56:53.592598+00:00,
2025031902010,219.44,T020D0C0,2025-11-30 12:21:15.102417+00:00,
2025031907605,241.04,T076D0C0,2025-11-30 05:19:30.782458+00:00,
2025031907608,223.64,T076D0C0,2025-11-30 23:40:01.489318+00:00,
2025031907611,49.64,T076D0C0,2025-11-30 04:54:35.889697+00:00,
2025031907612,197.24,T076D0C0,2025-11-30 05:51:05.319951+00:00,
2025032000101,165.84,T001D0C0,2025-11-30 19:16:47.401704+00:00,
2025032001701,40.84,T017D0C0,2025-11-30 16:54:49.544526+00:00,
2025032001703,46.84,T017D0C0,2025-11-30 23:44:17.451456+00:00,
2025032001705,131.04,T017D0C0,2025-11-30 22:52:09.564667+00:00,
2025032001706,93.04,T017D0C0,2025-11-30 06:02:28.341895+00:00,
2025032001708,233.04,T017D0C0,2025-11-30 19:26:33.117242+00:00,
2025032001709,55.84,T017D0C0,2025-11-30 22:01:41.846515+00:00,
2025032002001,6.64,T020D0C0,2025-11-30 05:27:10.413961+00:00,
2025032004501,27.04,T045D0C0,2025-11-29 16:46:06.688970+00:00,
2025032004502,74.24,T045D0C0,2025-11-29 16:33:19.395376+00:00,
2025032004503,37.84,T045D0C0,2025-11-29 16:32:21.927467+00:00,
2025032004504,49.84,T045D0C0,2025-11-29 16:10:16.406109+00:00,
2025032004505,223.04,T045D0C0,2025-11-29 14:26:21.334303+00:00,
2025032004506,228.44,T045D0C0,2025-11-29 16:51:04.535744+00:00,
2025032004507,302.64,T045D0C0,2025-11-29 14:46:01.917036+00:00,
2025032004508,43.84,T045D0C0,2025-11-29 16:35:54.742544+00:00,
2025032004509,201.84,T045D0C0,2025-11-29 14:50:47.717035+00:00,
2025032004510,95.24,T045D0C0,2025-11-29 16:04:37.630205+00:00,
2025032004511,63.84,T045D0C0,2025-11-29 15:45:19.582839+00:00,
2025032004512,49.84,T045D0C0,2025-11-29 15:18:25.385071+00:00,
2025032005403,214.04,T054D0C0,2025-11-30 06:46:10.097178+00:00,
2025032005405,132.04,T054D0C0,2025-11-30 09:57:36.955695+00:00,
2025032005406,220.04,T054D0C0,2025-11-30 07:16:40.279870+00:00,
2025032005407,215.64,T054D0C0,2025-11-30 09:19:11.676687+00:00,
2025032005411,210.24,T054D0C0,2025-11-30 06:42:52.963604+00:00,
2025032005412,231.04,T054D0C0,2025-11-30 08:32:33.599712+00:00,
2025032100104,186.24,T001D0C0,2025-11-30 18:12:45.211438+00:00,
2025032100105,136.84,T001D0C0,2025-11-30 08:19:16.594895+00:00,
2025032100109,163.44,T001D0C0,2025-11-30 17:46:00.729199+00:00,
2025032100301,14.64,T003D0C0,2025-11-30 23:57:52.867990+00:00,
2025032100302,12.84,T003D0C0,2025-11-30 20:13:57.127762+00:00,
2025032100303,26.64,T003D0C0,2025-11-30 11:51:29.102542+00:00,
2025032100304,26.24,T003D0C0,2025-11-30 13:26:22.984918+00:00,
2025032100307,17.44,T003D0C0,2025-11-30 13:20:43.356109+00:00,
2025032100309,1.44,T003D0C0,2025-11-30 21:29:02.375368+00:00,
2025032100310,39.84,T003D0C0,2025-11-30 13:03:15.896288+00:00,
2025032100311,11.64,T003D0C0,2025-11-30 12:59:26.149033+00:00,
2025032100312,46.64,T003D0C0,2025-11-30 20:52:24.181517+00:00,
2025032102002,16.04,T020D0C0,2025-11-30 21:27:20.069137+00:00,
2025032102003,26.64,T020D0C0,2025-11-30 15:58:36.154496+00:00,
2025032102005,12.64,T020D0C0,2025-11-30 06:59:18.527398+00:00,
2025032102006,61.04,T020D0C0,2025-11-30 18:19:13.568328+00:00,
2025032102008,14.44,T020D0C0,2025-11-30 21:00:55.181811+00:00,
2025032102009,6.04,T020D0C0,2025-11-30 18:30:32.329912+00:00,
2025032102010,20.84,T020D0C0,2025-11-30 18:56:01.755867+00:00,
2025032102011,11.44,T020D0C0,2025-11-30 12:59:39.212081+00:00,
2025032105501,31.24,T055D0C0,2025-11-30 05:30:19.849691+00:00,
2025032201702,21.04,T017D0C0,2025-11-30 22:41:38.504368+00:00,
2025032201901,33.04,T019D0C0,2025-11-30 10:57:46.477410+00:00,
2025032201902,199.24,T019D0C0,2025-11-30 08:10:22.296782+00:00,
2025032201903,53.04,T019D0C0,2025-11-30 21:10:56.138943+00:00,
2025032201908,28.04,T019D0C0,2025-11-30 16:47:25.680431+00:00,
2025032201910,41.04,T019D0C0,2025-11-30 07:52:01.075855+00:00,
2025032201911,26.64,T019D0C0,2025-11-30 07:45:44.453051+00:00,
2025032202002,19.24,T020D0C0,2025-11-30 14:40:18.422941+00:00,
2025032205505,23.04,T055D0C0,2025-11-30 04:55:02.517296+00:00,
2025032205506,5.64,T055D0C0,2025-11-30 22:12:13.917312+00:00,
2025032205507,21.64,T055D0C0,2025-11-30 09:32:44.016633+00:00,
2025032205509,180.64,T055D0C0,2025-11-30 20:10:52.122170+00:00,
2025032205510,69.44,T055D0C0,2025-11-30 05:59:46.440868+00:00,
2025032205512,238.64,T055D0C0,2025-11-30 06:40:21.355971+00:00,
2025032301704,32.84,T017D0C0,2025-11-30 20:48:51.060087+00:00,
2025032301706,47.04,T017D0C0,2025-11-30 23:39:46.547156+00:00,
2025032301709,166.04,T017D0C0,2025-11-30 16:18:55.617804+00:00,
2025032301712,212.24,T017D0C0,2025-11-30 18:13:40.693224+00:00,
2025032302005,22.84,T020D0C0,2025-11-30 14:31:00.928546+00:00,
2025032302008,2.84,T020D0C0,2025-11-30 09:21:16.645986+00:00,
2025032302010,33.24,T020D0C0,2025-11-30 11:58:48.687798+00:00,
2025032302011,1.64,T020D0C0,2025-11-30 23:28:43.400956+00:00,
2025032302012,20.24,T020D0C0,2025-11-30 14:41:44.458713+00:00,
2025032400301,186.44,T003D0C0,2025-11-30 20:21:14.929133+00:00,
2025032400302,43.64,T003D0C0,2025-11-30 11:55:29.856509+00:00,
2025032400305,28.64,T003D0C0,2025-11-30 13:39:43.996477+00:00,
2025032400310,18.64,T003D0C0,2025-11-30 19:54:35.305193+00:00,
2025032401701,80.24,T017D0C0,2025-11-30 21:04:27.994778+00:00,
2025032401702,23.84,T017D0C0,2025-11-30 07:28:28.102539+00:00,
2025032401703,49.44,T017D0C0,2025-11-30 05:59:20.780603+00:00,
2025032401704,79.64,T017D0C0,2025-11-30 14:41:02.030503+00:00,
2025032401706,193.04,T017D0C0,2025-11-30 13:02:07.206208+00:00,
2025032401707,175.64,T017D0C0,2025-11-30 21:57:34.008849+00:00,
2025032401709,34.84,T017D0C0,2025-11-30 23:10:39.269924+00:00,
2025032401710,40.84,T017D0C0,2025-11-30 18:49:45.221881+00:00,
2025032500103,22.84,T001D0C0,2025-11-30 16:56:40.576205+00:00,
2025032500107,23.84,T001D0C0,2025-11-30 07:31:57.683813+00:00,
2025032500109,43.24,T001D0C0,2025-11-30 11:25:47.406815+00:00,
2025032500112,207.64,T001D0C0,2025-11-30 06:57:16.099357+00:00,
2025032500605,83.84,T006D0C0,2025-11-30 20:31:56.664097+00:00,
2025032500609,420.44,T006D0C0,2025-11-30 11:23:40.953113+00:00,
2025032500611,247.04,T006D0C0,2025-11-30 05:48:45.601650+00:00,
2025032501702,43.44,T017D0C0,2025-11-30 23:38:04.770623+00:00,
2025032501703,45.24,T017D0C0,2025-11-30 14:51:44.777758+00:00,
2025032501704,8.24,T017D0C0,2025-11-30 06:23:04.260980+00:00,
2025032501707,4.04,T017D0C0,2025-11-30 05:47:10.264866+00:00,
2025032501708,37.84,T017D0C0,2025-11-30 14:27:40.684260+00:00,
2025032501709,35.24,T017D0C0,2025-11-30 05:23:54.658096+00:00,
2025032501710,43.84,T017D0C0,2025-11-30 18:47:39.348188+00:00,
2025032501711,15.84,T017D0C0,2025-11-30 13:14:50.837077+00:00,
2025032502001,282.04,T020D0C0,2025-11-30 13:32:54.120745+00:00,
2025032507601,76.64,T076D0C0,2025-11-30 06:09:36.802956+00:00,
2025032600704,44.04,T007D0C0,2025-11-30 12:35:44.552437+00:00,
2025032600706,151.24,T007D0C0,2025-11-30 12:10:40.861550+00:00,
2025032600707,153.84,T007D0C0,2025-11-30 08:25:55.810710+00:00,
2025032600710,49.84,T007D0C0,2025-11-30 15:45:00.386518+00:00,
2025032601903,201.84,T019D0C0,2025-11-30 20:06:32.263623+00:00,
2025032601908,18.84,T019D0C0,2025-11-30 20:55:35.375667+00:00,
2025032601909,24.44,T019D0C0,2025-11-30 15:00:42.672783+00:00,
2025032601910,19.04,T019D0C0,2025-11-30 22:45:02.215003+00:00,
2025032602005,19.64,T020D0C0,2025-11-30 12:30:22.104914+00:00,
2025032602006,7.64,T020D0C0,2025-11-30 13:55:59.104473+00:00,
2025032602008,52.84,T020D0C0,2025-11-30 09:22:31.878999+00:00,
2025032602009,28.04,T020D0C0,2025-11-30 23:07:05.501227+00:00,
2025032602011,226.84,T020D0C0,2025-11-30 16:26:44.234884+00:00,
2025032602012,53.04,T020D0C0,2025-11-30 18:40:12.006704+00:00,
2025032607602,143.84,T076D0C0,2025-11-30 14:31:11.049758+00:00,
2025032607604,261.84,T076D0C0,2025-11-30 18:29:58.107552+00:00,
2025032607605,219.44,T076D0C0,2025-11-30 16:05:06.132964+00:00,
2025032607609,89.64,T076D0C0,2025-11-30 16:36:29.534493+00:00,
2025032700101,28.04,T001D0C0,2025-11-30 15:42:12.542998+00:00,
2025032701701,180.84,T017D0C0,2025-11-30 14:15:19.692484+00:00,
2025032701703,55.84,T017D0C0,2025-11-30 05:30:47.365206+00:00,
2025032701706,50.24,T017D0C0,2025-11-30 16:36:45.952451+00:00,
2025032701709,215.84,T017D0C0,2025-11-30 21:16:19.257866+00:00,
2025032701711,229.04,T017D0C0,2025-11-30 21:23:09.876182+00:00,
2025032704501,90.24,T045D0C0,2025-11-29 14:41:21.949533+00:00,
2025032704502,36.64,T045D0C0,2025-11-29 15:26:12.486723+00:00,
2025032704503,84.84,T045D0C0,2025-11-29 15:19:13.162908+00:00,
2025032704504,43.84,T045D0C0,2025-11-29 14:37:38.845949+00:00,
2025032704505,49.84,T045D0C0,2025-11-29 15:24:11.714292+00:00,
2025032704506,85.04,T045D0C0,2025-11-29 14:21:30.515390+00:00,
2025032704507,213.24,T045D0C0,2025-11-29 15:52:56.821648+00:00,
2025032704508,46.84,T045D0C0,2025-11-29 15:35:06.791483+00:00,
2025032704509,228.64,T045D0C0,2025-11-29 14:28:18.889977+00:00,
2025032704510,52.84,T045D0C0,2025-11-29 14:41:40.814444+00:00,
2025032704511,223.04,T045D0C0,2025-11-29 16:08:13.305665+00:00,
2025032704512,224.84,T045D0C0,2025-11-29 15:40:05.597473+00:00,
2025032705402,253.24,T054D0C0,2025-11-30 11:44:26.731598+00:00,
2025032705404,203.24,T054D0C0,2025-11-30 07:49:37.756050+00:00,
2025032705406,147.04,T054D0C0,2025-11-30 08:09:49.963783+00:00,
2025032705407,103.84,T054D0C0,2025-11-30 12:16:05.568194+00:00,
2025032705409,226.04,T054D0C0,2025-11-30 11:28:26.091912+00:00,
2025032705410,217.04,T054D0C0,2025-11-30 07:18:54.012324+00:00,
2025032705411,220.04,T054D0C0,2025-11-30 08:22:35.421268+00:00,
2025032705412,217.64,T054D0C0,2025-11-30 06:12:53.156982+00:00,
2025032800112,73.24,T001D0C0,2025-11-30 13:04:44.128001+00:00,
2025032800301,19.24,T003D0C0,2025-11-30 19:58:11.519029+00:00,
2025032800302,24.04,T003D0C0,2025-11-30 21:55:06.190071+00:00,
2025032800303,75.04,T003D0C0,2025-11-30 16:11:02.838677+00:00,
2025032800304,34.84,T003D0C0,2025-11-30 12:11:28.464820+00:00,
2025032800306,16.24,T003D0C0,2025-11-30 10:38:14.677914+00:00,
2025032800307,17.24,T003D0C0,2025-11-30 18:11:37.636833+00:00,
2025032800310,15.64,T003D0C0,2025-11-30 13:31:37.387833+00:00,
2025032800311,37.84,T003D0C0,2025-11-30 14:04:35.033309+00:00,
2025032802001,33.44,T020D0C0,2025-11-30 07:26:16.099351+00:00,
2025032802003,49.84,T020D0C0,2025-11-30 15:18:51.478797+00:00,
2025032802005,35.24,T020D0C0,2025-11-30 08:13:26.321644+00:00,
2025032802007,43.84,T020D0C0,2025-11-30 21:47:14.569510+00:00,
2025032802009,12.84,T020D0C0,2025-11-30 06:39:38.893174+00:00,
2025032805502,215.64,T055D0C0,2025-11-30 16:38:34.020531+00:00,
2025032900308,52.64,T003D0C0,2025-11-30 16:42:34.293732+00:00,
2025032900310,50.44,T003D0C0,2025-11-30 18:33:01.785346+00:00,
2025032900312,46.84,T003D0C0,2025-11-30 12:17:59.630280+00:00,
2025032901702,63.64,T017D0C0,2025-11-30 21:26:19.117637+00:00,
2025032901703,63.04,T017D0C0,2025-11-30 21:12:46.595968+00:00,
2025032901704,92.44,T017D0C0,2025-11-30 14:39:29.961055+00:00,
2025032901901,31.64,T019D0C0,2025-11-30 13:00:52.439893+00:00,
2025032901904,16.44,T019D0C0,2025-11-30 16:40:44.246365+00:00,
2025032901905,19.04,T019D0C0,2025-11-30 07:38:02.011505+00:00,
2025032901911,28.24,T019D0C0,2025-11-30 10:20:30.176528+00:00,
2025032902002,222.64,T020D0C0,2025-11-30 21:52:56.457078+00:00,
2025032902003,38.04,T020D0C0,2025-11-30 15:04:49.516197+00:00,
2025033001706,47.04,T017D0C0,2025-11-30 14:05:33.433460+00:00,
2025033001707,66.24,T017D0C0,2025-11-30 16:07:55.347276+00:00,
2025033001708,84.44,T017D0C0,2025-11-30 16:12:01.762819+00:00,
2025033001709,26.04,T017D0C0,2025-11-30 14:26:21.847463+00:00,
2025033001710,23.84,T017D0C0,2025-11-30 15:48:32.933419+00:00,
2025033001711,55.24,T017D0C0,2025-11-30 05:22:37.546231+00:00,
2025033002004,35.04,T020D0C0,2025-11-30 22:43:03.792250+00:00,
2025033002005,189.44,T020D0C0,2025-11-30 13:40:38.669835+00:00,
2025033002006,236.64,T020D0C0,2025-11-30 07:51:23.443297+00:00,
2025033002007,184.24,T020D0C0,2025-11-30 08:31:14.201795+00:00,
2025033002009,194.64,T020D0C0,2025-11-30 12:30:36.452165+00:00,
2025033002010,237.44,T020D0C0,2025-11-30 07:59:14.368895+00:00,
2025033002012,76.64,T020D0C0,2025-11-30 20:52:28.238671+00:00,
2025033004501,48.84,T045D0C0,2025-11-29 16:22:45.855283+00:00,
2025033100302,16.04,T003D0C0,2025-11-30 18:35:09.918766+00:00,
2025033100308,2.84,T003D0C0,2025-11-30 08:24:42.870454+00:00,
2025033100310,25.84,T003D0C0,2025-11-30 09:32:11.593460+00:00,
2025033100701,159.24,T007D0C0,2025-11-30 11:54:45.594182+00:00,
2025033100704,33.04,T007D0C0,2025-11-30 14:59:11.880460+00:00,
2025033100711,237.24,T007D0C0,2025-11-30 15:31:34.406900+00:00,
2025033101701,38.04,T017D0C0,2025-11-30 13:37:39.663292+00:00,
2025033101703,665.24,T017D0C0,2025-11-30 05:14:35.836514+00:00,
2025033104502,65.84,T045D0C0,2025-11-29 15:21:35.839104+00:00,
2025033104503,217.04,T045D0C0,2025-11-29 16:53:28.430611+00:00,
2025033104504,229.04,T045D0C0,2025-11-29 16:03:41.540533+00:00,
2025033104505,769.24,T045D0C0,2025-11-29 16:08:29.208886+00:00,
2025040100102,58.84,T001D0C0,2025-11-30 08:39:00.496907+00:00,
2025040100103,122.84,T001D0C0,2025-11-30 14:02:32.129609+00:00,
2025040100105,34.84,T001D0C0,2025-11-30 06:29:29.276915+00:00,
2025040100106,43.44,T001D0C0,2025-11-30 14:32:40.130946+00:00,
2025040100107,5.04,T001D0C0,2025-11-30 08:09:35.237377+00:00,
2025040100108,15.04,T001D0C0,2025-11-30 09:47:25.930854+00:00,
2025040100109,176.24,T001D0C0,2025-11-30 14:20:57.633916+00:00,
2025040100112,39.84,T001D0C0,2025-11-30 17:37:56.922438+00:00,
2025040100604,31.24,T006D0C0,2025-11-30 10:10:00.701136+00:00,
2025040100606,17.04,T006D0C0,2025-11-30 22:43:41.067091+00:00,
2025040100612,71.64,T006D0C0,2025-11-30 11:03:55.029264+00:00,
2025040102001,185.84,T020D0C0,2025-11-30 11:54:32.639498+00:00,
2025040200701,41.64,T007D0C0,2025-11-30 23:43:22.448136+00:00,
2025040200702,21.44,T007D0C0,2025-11-30 14:30:40.753237+00:00,
2025040200705,37.04,T007D0C0,2025-11-30 07:36:16.967622+00:00,
2025040200707,33.24,T007D0C0,2025-11-30 23:35:11.604685+00:00,
2025040200708,37.24,T007D0C0,2025-11-30 11:08:11.804188+00:00,
2025040201903,165.44,T019D0C0,2025-11-30 10:38:50.178464+00:00,
2025040201904,192.04,T019D0C0,2025-11-30 22:20:44.151705+00:00,
2025040201905,36.44,T019D0C0,2025-11-30 22:51:19.624853+00:00,
2025040201906,25.44,T019D0C0,2025-11-30 11:05:51.708381+00:00,
2025040201909,28.24,T019D0C0,2025-11-30 21:49:49.907899+00:00,
2025040201911,18.04,T019D0C0,2025-11-30 11:24:51.322595+00:00,
2025040202002,28.84,T020D0C0,2025-11-30 15:02:05.656062+00:00,
2025040202004,40.64,T020D0C0,2025-11-30 05:50:59.948974+00:00,
2025040202008,37.84,T020D0C0,2025-11-30 14:12:32.455069+00:00,
2025040202010,14.64,T020D0C0,2025-11-30 08:43:44.867049+00:00,
2025040202011,28.64,T020D0C0,2025-11-30 08:18:49.416655+00:00,
2025040202012,51.04,T020D0C0,2025-11-30 07:38:38.508073+00:00,
2025040207602,216.24,T076D0C0,2025-11-30 17:47:45.018219+00:00,
2025040207603,31.84,T076D0C0,2025-11-30 14:48:15.959492+00:00,
